subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,466.0,SEK,Grödinge,147 92,SE,1,2020,3,17
Klippkungen,shipped,715.0,SEK,Degerfors,693 31,SE,1,2020,3,8
Klippkungen,shipped,511.0,DKK,København NV,2400,DK,1,2020,3,9
Klippkungen,shipped,371.0,SEK,Bräcke,843 93,SE,1,2020,3,11
Klippkungen,shipped,734.0,SEK,Hammerdal,833 48,SE,1,2020,3,10
Klippkungen,shipped,336.0,SEK,Segeltorp,141 71,SE,1,2020,3,10
Klippkungen,shipped,736.0,SEK,Korskrogen,827 72,SE,1,2020,3,15
Klippkungen,shipped,725.0,SEK,Långsele,882 40,SE,1,2020,3,12
Klippkungen,shipped,515.0,SEK,Dala-Husby,776 96,SE,1,2020,3,11
Klippkungen,shipped,664.0,SEK,Stockholm,115 34,SE,1,2020,3,16
Klippkungen,shipped,198.0,SEK,Stockholm,117 57,SE,1,2020,3,12
Klippkungen,shipped,564.0,SEK,Strömsnäsbruk,287 32,SE,1,2020,3,16
Klippkungen,shipped,582.0,SEK,Alafors,449 50,SE,1,2020,3,13
Klippkungen,shipped,217.0,SEK,Ingatorp,570 31,SE,1,2020,3,19
Klippkungen,shipped,476.0,SEK,Gullspång,547 92,SE,1,2020,3,13
Klippkungen,shipped,306.0,SEK,Vinberg,311 99,SE,1,2020,3,19
Klippkungen,shipped,1718.0,SEK,Upplands Väsby,194 57,SE,1,2020,3,13
Klippkungen,shipped,576.0,SEK,Runhällen,744 93,SE,1,2020,3,18
Klippkungen,shipped,1254.0,SEK,Kristianstad,291 43,SE,1,2020,3,14
Klippkungen,shipped,446.0,SEK,Trelleborg,231 52,SE,1,2020,3,16
Godisgruvan,shipped,447.0,SEK,Barsebäck,24657,SE,1,2020,3,15
Klippkungen,shipped,643.0,SEK,Kinna,511 56,SE,1,2020,3,15
Klippkungen,shipped,416.0,SEK,Sollebrunn,441 72,SE,1,2020,3,16
Klippkungen,shipped,1181.91,SEK,Alingsås,441 32,SE,1,2020,3,16
Klippkungen,shipped,287.0,SEK,Upplands Väsby,194 65,SE,1,2020,3,16
Klippkungen,shipped,369.0,SEK,Svanesund,472 31,SE,1,2020,3,24
Klippkungen,shipped,1104.99,NOK,Stavern,3294,NO,1,2020,3,17
Klippkungen,shipped,1032.0,SEK,Uddevalla,451 71,SE,1,2020,3,21
Klippkungen,shipped,366.0,SEK,Örsundsbro,749 63,SE,1,2020,3,17
Klippkungen,shipped,963.0,SEK,Stenungsund,444 44,SE,1,2020,3,17
